UF,Idade,Sexo,Refeicao,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,caloria_total,nivel_caloria
SP,65,F,LANCHE,37.7,39.9,19.4,13.2,11.6,501.0,medium,557.8,MEDIA
PE,51,O,CAFE DA MANHA,19.7,51.7,26.2,5.8,13.1,494.0,medium,585.4,MEDIA
PI,37,M,LANCHE,14.9,76.6,26.9,5.7,29.3,614.0,medium,736.7,ALTA
MT,76,M,JANTAR,27.5,75.2,8.5,4.1,11.4,517.0,medium,541.1,MEDIA
BA,30,M,JANTAR,2.0,37.0,19.5,13.4,13.7,377.0,low,413.1,MEDIA
AC,47,M,LANCHE,29.9,42.7,23.1,1.8,21.1,481.0,medium,586.3,MEDIA
MA,46,O,ALMOCO,20.6,19.7,21.8,6.1,32.6,342.0,low,500.0,MEDIA
GO,64,F,ALMOCO,33.3,33.9,15.5,13.8,16.6,409.0,medium,502.3,MEDIA
CE,52,M,LANCHE,5.3,54.9,13.1,3.5,11.4,389.0,low,411.3,MEDIA
DF,68,M,JANTAR,17.8,34.8,14.7,7.7,11.7,324.0,low,404.9,MEDIA
AC,75,M,LANCHE,44.5,77.9,23.9,7.7,10.6,682.0,medium,762.5,ALTA
PE,42,M,CAFE DA MANHA,7.2,67.3,6.8,15.7,20.5,309.0,low,472.6,MEDIA
SE,73,F,CAFE DA MANHA,17.9,3.0,15.9,8.2,4.6,249.0,low,261.5,BAIXA
RJ,28,F,LANCHE,20.7,56.7,15.2,8.5,21.0,427.0,medium,547.4,MEDIA
MG,75,F,JANTAR,36.9,57.6,10.9,6.6,23.6,487.0,medium,583.7,MEDIA
MS,29,M,CAFE DA MANHA,35.7,33.6,24.9,12.5,0.0,486.0,medium,526.3,MEDIA
GO,71,F,ALMOCO,18.1,52.5,19.3,8.8,0.0,430.0,medium,473.7,MEDIA
AM,42,F,JANTAR,31.9,42.9,5.8,5.5,0.0,343.0,low,362.4,BAIXA
PE,78,M,ALMOCO,12.6,39.4,12.7,9.7,16.5,275.0,low,407.7,MEDIA
PR,26,F,CAFE DA MANHA,42.3,39.2,12.8,9.8,9.4,466.0,medium,498.4,MEDIA
AC,47,F,ALMOCO,28.4,73.8,16.3,4.2,0.0,544.0,medium,563.9,MEDIA
MS,74,F,ALMOCO,33.4,54.0,14.5,4.5,25.8,487.0,medium,592.3,MEDIA
ES,20,M,CAFE DA MANHA,22.8,32.6,25.8,0.0,10.2,427.0,medium,494.6,MEDIA
BA,34,M,LANCHE,15.5,35.9,29.9,2.8,30.8,478.0,medium,603.5,MEDIA
RJ,23,F,LANCHE,28.9,49.6,30.3,0.4,26.5,574.0,medium,693.5,MEDIA
PB,38,M,LANCHE,22.9,50.0,21.0,0.3,13.8,460.0,medium,536.4,MEDIA
PI,42,M,LANCHE,33.6,90.7,31.0,8.6,14.3,769.0,high,850.6,ALTA
RN,56,F,CAFE DA MANHA,40.8,56.3,8.2,16.4,9.6,425.0,medium,533.4,MEDIA
TO,34,M,CAFE DA MANHA,31.1,61.1,12.3,6.9,10.1,503.0,medium,533.7,MEDIA
RO,27,F,CAFE DA MANHA,24.0,12.7,24.1,0.0,15.2,386.0,low,424.5,MEDIA
PE,28,O,CAFE DA MANHA,36.1,22.0,32.4,10.4,32.4,562.0,medium,674.4,MEDIA
SC,77,F,LANCHE,32.6,60.1,12.3,14.7,6.8,502.0,medium,538.1,MEDIA
MG,78,F,CAFE DA MANHA,30.3,74.5,20.6,8.4,18.5,597.0,medium,695.4,MEDIA
TO,31,F,LANCHE,29.8,83.3,32.1,10.4,23.8,742.0,high,857.3,ALTA
RS,30,M,CAFE DA MANHA,27.7,52.7,12.3,12.0,23.4,440.0,medium,549.9,MEDIA
PI,21,M,CAFE DA MANHA,19.8,59.2,19.2,6.9,17.8,503.0,medium,573.8,MEDIA
SP,78,F,CAFE DA MANHA,25.2,14.7,15.3,7.6,24.8,331.0,low,411.7,MEDIA
PA,62,M,ALMOCO,35.3,34.8,22.9,5.6,29.4,454.0,medium,615.3,MEDIA
RN,65,M,LANCHE,40.0,68.9,20.6,6.7,19.5,599.0,medium,712.4,ALTA
ES,36,M,JANTAR,17.3,46.9,22.0,11.4,0.0,453.0,medium,477.6,MEDIA
TO,58,F,CAFE DA MANHA,41.8,39.3,15.8,15.2,10.7,468.0,medium,539.8,MEDIA
PE,21,M,LANCHE,14.2,70.7,3.3,13.7,3.2,348.0,low,409.5,MEDIA
RO,60,F,LANCHE,35.1,59.0,28.9,4.9,21.9,711.0,high,733.9,ALTA
MG,54,M,ALMOCO,25.1,43.9,24.3,4.2,30.7,472.0,medium,625.9,MEDIA
SC,38,F,CAFE DA MANHA,29.2,80.8,26.0,9.2,14.3,689.0,medium,749.6,ALTA
AP,62,M,CAFE DA MANHA,20.3,55.8,23.1,4.5,13.2,512.0,medium,574.1,MEDIA
AM,58,M,CAFE DA MANHA,20.3,54.9,16.8,3.4,26.1,439.0,medium,563.2,MEDIA
PA,45,F,JANTAR,23.1,72.1,14.3,0.8,0.0,544.0,medium,511.1,MEDIA
RN,29,F,ALMOCO,29.6,37.7,20.9,15.7,2.7,476.0,medium,499.5,MEDIA
RO,19,M,ALMOCO,23.7,79.2,29.0,9.8,0.9,712.0,high,695.8,MEDIA
MS,77,M,LANCHE,28.2,58.2,20.6,4.7,7.8,521.0,medium,571.6,MEDIA
PI,35,M,ALMOCO,15.3,75.6,6.2,10.9,10.0,411.0,medium,481.2,MEDIA
PB,37,M,LANCHE,19.8,75.6,27.6,14.5,11.7,661.0,medium,705.8,ALTA
SE,60,F,CAFE DA MANHA,35.0,11.5,14.4,3.4,5.8,301.0,low,345.6,BAIXA
PI,34,M,ALMOCO,32.3,60.6,20.1,10.9,9.4,556.0,medium,611.9,MEDIA
MS,41,F,CAFE DA MANHA,31.2,56.2,36.0,13.2,0.8,637.0,medium,703.2,ALTA
TO,62,M,CAFE DA MANHA,20.9,55.6,27.5,11.5,20.2,525.0,medium,657.3,MEDIA
AP,55,F,ALMOCO,24.0,45.3,13.6,8.8,17.2,383.0,low,486.0,MEDIA
TO,59,M,LANCHE,34.1,45.7,13.4,7.9,35.7,460.0,medium,598.4,MEDIA
BA,18,F,LANCHE,39.8,63.2,22.3,5.7,31.1,562.0,medium,748.5,ALTA
ES,46,M,LANCHE,31.3,63.5,10.8,9.6,17.4,488.0,medium,565.2,MEDIA
RR,47,O,CAFE DA MANHA,16.6,64.2,18.2,6.3,22.9,451.0,medium,591.2,MEDIA
RN,57,F,JANTAR,27.9,29.1,16.5,0.0,25.0,354.0,low,476.5,MEDIA
TO,27,F,CAFE DA MANHA,18.5,36.6,0.0,15.1,15.3,168.0,low,311.8,BAIXA
RS,28,M,JANTAR,40.9,64.2,27.2,9.6,6.9,656.0,medium,712.0,ALTA
PI,66,M,LANCHE,28.0,6.9,10.8,2.8,6.8,187.0,low,269.6,BAIXA
MA,60,M,LANCHE,42.5,73.3,39.2,11.2,17.1,809.0,high,906.8,ALTA
AC,69,M,ALMOCO,36.5,54.9,23.7,10.2,15.9,609.0,medium,662.9,MEDIA
AM,35,F,LANCHE,15.4,68.6,19.4,20.3,16.8,520.0,medium,618.4,MEDIA
GO,80,F,LANCHE,39.8,23.1,18.5,10.7,3.9,455.0,medium,455.1,MEDIA
AL,35,F,CAFE DA MANHA,0.0,15.4,20.5,12.8,1.2,211.0,low,276.5,BAIXA
PA,59,F,LANCHE,21.1,38.4,15.5,0.0,31.8,359.0,low,504.7,MEDIA
RS,28,M,CAFE DA MANHA,22.0,41.1,14.2,6.3,39.2,329.0,low,549.6,MEDIA
TO,75,M,ALMOCO,40.2,58.6,14.4,3.7,28.8,509.0,medium,647.4,MEDIA
PA,38,F,LANCHE,12.2,61.2,24.6,8.8,16.1,559.0,medium,597.0,MEDIA
SC,68,M,JANTAR,21.0,45.8,21.6,8.5,7.4,464.0,medium,508.2,MEDIA
TO,38,M,ALMOCO,20.5,42.5,20.7,7.8,23.5,403.0,medium,547.9,MEDIA
SC,67,O,CAFE DA MANHA,16.9,26.2,17.1,3.3,9.3,325.0,low,370.1,BAIXA
MG,46,O,ALMOCO,30.2,54.8,27.9,8.7,13.1,589.0,medium,660.9,MEDIA
GO,21,F,ALMOCO,23.8,31.9,30.8,7.8,22.6,494.0,medium,606.0,MEDIA
TO,29,M,ALMOCO,28.2,71.0,27.1,8.6,12.2,629.0,medium,706.7,ALTA
DF,61,F,ALMOCO,30.0,47.9,10.9,1.4,14.9,432.0,medium,472.1,MEDIA
MS,30,M,LANCHE,16.2,38.1,27.3,6.8,4.0,423.0,medium,492.5,MEDIA
AL,35,M,CAFE DA MANHA,47.2,44.5,23.2,10.9,41.6,594.0,medium,763.8,ALTA
RO,52,M,CAFE DA MANHA,33.3,48.8,18.3,1.7,14.3,463.0,medium,553.7,MEDIA
PI,33,O,ALMOCO,33.1,45.5,30.8,6.4,22.6,605.0,medium,694.8,MEDIA
AP,26,O,CAFE DA MANHA,19.4,51.6,17.0,6.4,25.8,481.0,medium,553.0,MEDIA
CE,57,F,CAFE DA MANHA,28.1,41.3,18.5,11.5,23.5,456.0,medium,561.1,MEDIA
PB,61,M,ALMOCO,11.3,68.5,10.3,0.9,8.2,398.0,low,446.5,MEDIA
PB,64,F,ALMOCO,8.6,55.6,16.4,5.5,19.0,402.0,medium,491.4,MEDIA
RO,77,M,ALMOCO,26.6,57.7,32.2,4.5,0.6,607.0,medium,638.4,MEDIA
ES,25,F,LANCHE,20.4,37.1,26.6,6.8,0.0,518.0,medium,483.0,MEDIA
SP,44,M,JANTAR,42.0,87.0,20.2,7.2,22.2,696.0,medium,801.0,ALTA
MG,32,M,ALMOCO,18.5,50.6,10.3,12.0,12.7,347.0,low,443.9,MEDIA
RR,74,F,ALMOCO,32.9,88.7,25.0,8.5,1.0,716.0,high,732.4,ALTA
DF,52,F,CAFE DA MANHA,33.1,65.3,27.6,8.1,14.4,657.0,medium,715.8,ALTA
AC,24,F,CAFE DA MANHA,37.1,21.7,25.2,12.6,13.5,453.0,medium,541.2,MEDIA
AL,61,M,LANCHE,25.6,91.0,15.2,11.5,7.8,598.0,medium,657.4,MEDIA
MT,20,F,LANCHE,3.5,32.3,16.7,12.6,28.4,267.0,low,432.3,MEDIA
SE,35,M,CAFE DA MANHA,33.2,0.0,22.8,13.9,13.9,288.0,low,421.4,MEDIA
AL,63,M,CAFE DA MANHA,21.7,34.8,27.8,10.8,18.6,491.0,medium,572.2,MEDIA
MA,49,F,ALMOCO,35.0,38.2,23.0,6.7,8.2,488.0,medium,546.0,MEDIA
AP,65,M,ALMOCO,28.3,32.6,11.0,10.1,20.3,386.0,low,444.0,MEDIA
SE,53,F,JANTAR,25.4,88.5,20.2,3.8,13.1,666.0,medium,697.4,MEDIA
RJ,71,M,CAFE DA MANHA,26.5,71.6,14.5,4.7,16.6,527.0,medium,598.7,MEDIA
RS,53,M,CAFE DA MANHA,12.5,97.3,8.9,4.7,23.8,531.0,medium,623.9,MEDIA
RN,21,F,ALMOCO,17.9,49.8,28.4,8.1,26.1,528.0,medium,647.0,MEDIA
PI,22,M,CAFE DA MANHA,35.6,66.0,15.7,9.3,25.8,538.0,medium,669.5,MEDIA
RS,66,F,CAFE DA MANHA,18.2,49.9,23.3,9.6,27.2,482.0,medium,610.1,MEDIA
AC,20,F,ALMOCO,19.0,5.6,27.7,14.0,1.4,372.0,low,381.3,BAIXA
SC,41,M,ALMOCO,29.4,61.3,30.7,5.3,20.7,568.0,medium,732.5,ALTA
RN,19,F,CAFE DA MANHA,26.3,15.9,11.9,8.5,15.2,266.0,low,353.7,BAIXA
RN,37,M,LANCHE,28.6,66.0,20.9,7.6,20.4,529.0,medium,663.3,MEDIA
MT,55,M,ALMOCO,36.6,20.2,19.1,9.8,11.9,378.0,low,466.3,MEDIA
RO,28,M,CAFE DA MANHA,15.6,40.3,20.1,10.6,35.6,388.0,low,568.1,MEDIA
MT,47,F,JANTAR,28.9,66.7,18.3,15.3,18.9,550.0,medium,653.3,MEDIA
AL,80,F,ALMOCO,23.4,61.3,2.2,3.1,16.5,411.0,medium,430.8,MEDIA
SP,22,F,JANTAR,39.9,59.5,25.6,9.4,3.6,637.0,medium,661.2,MEDIA
DF,22,O,JANTAR,10.0,77.2,18.3,11.1,27.4,462.0,medium,645.3,MEDIA
AP,35,M,ALMOCO,17.0,64.3,30.9,8.0,4.8,629.0,medium,638.5,MEDIA
PE,70,F,CAFE DA MANHA,18.3,45.6,21.8,7.3,13.2,469.0,medium,519.2,MEDIA
DF,43,F,JANTAR,40.1,83.8,17.5,7.1,28.5,655.0,medium,781.3,ALTA
SC,58,O,ALMOCO,14.2,58.6,27.7,19.5,7.9,613.0,medium,611.1,MEDIA
MS,20,O,CAFE DA MANHA,12.5,35.3,11.0,9.8,20.0,311.0,low,389.8,BAIXA
AC,64,O,LANCHE,14.3,19.4,21.0,7.6,12.8,325.0,low,390.2,BAIXA
SE,22,M,ALMOCO,31.9,43.2,17.8,5.3,21.4,446.0,medium,556.8,MEDIA
PA,62,F,JANTAR,43.9,47.2,22.9,2.4,14.9,628.0,medium,634.9,MEDIA
ES,27,F,LANCHE,30.5,72.7,34.8,11.2,14.0,679.0,medium,804.4,ALTA
RJ,72,F,JANTAR,18.5,68.3,11.1,5.9,13.3,418.0,medium,512.1,MEDIA
PB,36,M,LANCHE,17.1,25.3,22.5,2.0,13.6,406.0,medium,430.5,MEDIA
AC,29,O,LANCHE,21.7,2.7,20.9,12.3,5.7,291.0,low,333.1,BAIXA
RS,39,M,ALMOCO,14.1,36.7,18.9,5.9,17.0,362.0,low,453.1,MEDIA
MT,18,F,JANTAR,41.5,33.1,22.3,2.9,5.1,508.0,medium,525.3,MEDIA
RJ,28,F,JANTAR,30.0,60.1,11.0,6.1,28.1,488.0,medium,584.0,MEDIA
SP,55,M,JANTAR,24.5,20.2,14.8,5.5,18.8,336.0,low,398.2,BAIXA
PE,36,F,LANCHE,39.2,49.7,15.1,2.8,38.7,534.0,medium,651.9,MEDIA
RJ,40,M,LANCHE,32.3,22.0,20.6,8.7,20.6,394.0,low,502.4,MEDIA
DF,68,F,ALMOCO,28.0,33.6,8.1,4.2,22.7,380.0,low,418.5,MEDIA
DF,25,F,JANTAR,18.8,54.9,13.1,15.3,1.6,367.0,low,449.7,MEDIA
MS,42,M,CAFE DA MANHA,8.1,41.1,25.8,8.9,16.9,464.0,medium,514.4,MEDIA
SC,29,F,CAFE DA MANHA,32.5,67.2,35.1,10.1,3.4,676.0,medium,748.5,ALTA
PB,48,M,ALMOCO,36.0,40.3,29.3,11.2,24.7,619.0,medium,690.1,MEDIA
MA,38,F,LANCHE,22.9,68.2,1.6,9.3,20.4,354.0,low,479.0,MEDIA
RO,20,O,LANCHE,29.7,49.5,23.4,8.6,0.0,522.0,medium,544.6,MEDIA
SC,22,M,CAFE DA MANHA,33.3,18.8,20.2,9.2,44.4,389.0,low,586.2,MEDIA
SP,71,F,CAFE DA MANHA,30.4,33.7,14.3,10.4,18.6,455.0,medium,480.3,MEDIA
GO,21,F,CAFE DA MANHA,21.7,64.9,18.8,0.0,15.3,510.0,medium,576.8,MEDIA
RN,67,F,ALMOCO,31.4,47.0,36.1,7.1,0.0,616.0,medium,652.7,MEDIA
PR,75,F,CAFE DA MANHA,29.4,51.6,24.7,2.1,5.8,545.0,medium,573.7,MEDIA
MG,47,F,LANCHE,35.3,59.7,23.1,2.6,10.4,567.0,medium,634.7,MEDIA
MT,37,F,CAFE DA MANHA,8.3,41.5,24.6,3.3,6.2,466.0,medium,452.0,MEDIA
AM,66,M,ALMOCO,33.3,43.8,20.2,8.9,10.2,469.0,medium,548.8,MEDIA
ES,79,M,ALMOCO,29.3,53.7,25.6,7.9,13.9,532.0,medium,633.8,MEDIA
PB,25,F,ALMOCO,16.4,39.9,24.2,4.9,18.4,464.0,medium,526.4,MEDIA
SC,78,M,JANTAR,17.8,59.6,8.0,11.2,9.7,365.0,low,442.8,MEDIA
SC,77,F,CAFE DA MANHA,9.4,73.5,24.4,8.6,8.0,541.0,medium,600.4,MEDIA
CE,26,M,ALMOCO,29.6,13.9,23.2,16.4,31.3,389.0,low,540.8,MEDIA
RJ,21,F,LANCHE,24.0,49.7,30.0,13.1,12.1,564.0,medium,639.4,MEDIA
AP,63,F,CAFE DA MANHA,11.3,62.8,14.9,14.4,31.2,477.0,medium,584.1,MEDIA
RJ,22,M,JANTAR,29.1,88.9,21.2,3.8,26.6,652.0,medium,776.8,ALTA
MA,55,M,JANTAR,24.9,40.8,23.9,10.2,4.4,471.0,medium,515.9,MEDIA
MG,22,M,LANCHE,22.5,51.3,35.9,17.0,14.9,648.0,medium,711.9,ALTA
RN,61,O,JANTAR,24.0,21.9,32.8,6.6,18.0,484.0,medium,564.0,MEDIA
MS,32,F,ALMOCO,22.9,44.8,20.8,4.7,25.9,459.0,medium,571.0,MEDIA
RO,24,F,ALMOCO,25.5,44.7,24.3,15.4,11.5,496.0,medium,576.3,MEDIA
PB,22,F,CAFE DA MANHA,31.5,14.1,15.2,8.3,5.6,306.0,low,358.2,BAIXA
TO,29,M,CAFE DA MANHA,31.5,69.5,15.0,4.3,24.5,528.0,medium,645.6,MEDIA
PI,52,M,CAFE DA MANHA,36.7,48.3,21.3,7.6,18.7,502.0,medium,621.7,MEDIA
GO,22,M,ALMOCO,15.8,56.3,8.7,12.1,7.8,335.0,low,422.1,MEDIA
RS,68,M,ALMOCO,18.2,60.4,16.6,6.6,21.9,454.0,medium,564.6,MEDIA
MS,56,F,CAFE DA MANHA,26.8,61.5,25.5,7.2,22.3,610.0,medium,686.3,MEDIA
PB,36,F,LANCHE,33.8,41.7,26.9,10.7,21.8,541.0,medium,652.7,MEDIA
AM,80,O,CAFE DA MANHA,24.7,65.4,19.4,12.2,0.0,539.0,medium,559.4,MEDIA
AM,59,F,ALMOCO,20.7,28.1,8.4,9.8,4.2,276.0,low,307.2,BAIXA
PR,60,F,CAFE DA MANHA,30.2,29.5,20.1,18.8,0.0,401.0,medium,457.3,MEDIA
CE,28,M,LANCHE,36.2,67.2,18.8,10.5,21.0,573.0,medium,687.8,MEDIA
TO,62,F,ALMOCO,27.6,67.3,24.5,1.7,9.0,600.0,medium,639.5,MEDIA
SC,53,O,LANCHE,23.8,54.4,13.4,12.4,21.1,441.0,medium,542.6,MEDIA
RJ,80,F,CAFE DA MANHA,21.1,46.0,26.0,9.9,32.6,530.0,medium,652.6,MEDIA
RN,48,F,ALMOCO,28.0,54.6,26.4,1.8,4.4,584.0,medium,589.2,MEDIA
PE,60,F,JANTAR,35.4,14.4,33.7,6.7,17.9,482.0,medium,587.5,MEDIA
AL,39,F,CAFE DA MANHA,24.3,50.6,17.8,10.7,21.3,496.0,medium,566.4,MEDIA
MT,20,O,ALMOCO,32.7,51.0,10.6,6.8,33.3,399.0,low,577.0,MEDIA
PA,26,F,CAFE DA MANHA,35.1,45.5,33.0,7.0,11.0,637.0,medium,677.4,MEDIA
SP,72,M,CAFE DA MANHA,18.9,69.1,19.4,4.2,14.0,517.0,medium,591.0,MEDIA
CE,64,M,ALMOCO,32.1,39.5,20.0,8.0,24.7,503.0,medium,581.2,MEDIA
PA,40,F,CAFE DA MANHA,21.6,55.0,3.2,11.7,30.6,332.0,low,481.0,MEDIA
MA,61,M,ALMOCO,25.7,38.2,40.1,13.8,4.3,695.0,medium,661.3,MEDIA
AM,18,O,JANTAR,23.1,56.3,20.0,0.6,2.1,491.0,medium,507.2,MEDIA
AP,20,F,CAFE DA MANHA,32.6,60.8,42.7,7.9,0.0,759.0,high,773.7,ALTA
MA,49,F,CAFE DA MANHA,29.3,82.5,22.4,6.3,26.9,685.0,medium,769.0,ALTA
AP,57,M,JANTAR,36.8,100.1,23.4,7.8,15.2,744.0,high,834.6,ALTA
AL,77,F,ALMOCO,46.4,56.2,8.1,11.4,10.1,488.0,medium,546.5,MEDIA
MA,65,F,JANTAR,32.6,38.7,14.3,15.9,25.6,368.0,low,548.1,MEDIA
CE,34,M,ALMOCO,23.7,43.4,0.0,12.4,4.6,276.0,low,311.6,BAIXA
PB,69,F,LANCHE,19.2,6.4,24.6,11.1,16.0,311.0,low,410.0,MEDIA
AC,48,M,JANTAR,30.1,63.9,21.7,13.3,20.7,564.0,medium,680.7,MEDIA
GO,70,M,CAFE DA MANHA,28.1,54.5,2.2,10.4,0.0,320.0,low,371.0,BAIXA
MG,28,M,JANTAR,28.6,66.3,22.1,13.5,12.3,569.0,medium,654.7,MEDIA
TO,19,F,LANCHE,25.5,50.3,12.4,5.9,32.3,370.0,low,555.8,MEDIA
PI,21,F,JANTAR,46.0,20.0,29.6,7.7,23.5,512.0,medium,639.8,MEDIA
SC,80,F,CAFE DA MANHA,34.5,46.5,25.4,11.2,12.9,544.0,medium,626.6,MEDIA
MA,23,M,ALMOCO,27.5,62.8,8.3,6.8,16.8,450.0,medium,516.7,MEDIA
MG,77,O,CAFE DA MANHA,29.2,31.8,20.9,7.7,12.6,468.0,medium,497.9,MEDIA
MS,63,F,JANTAR,27.8,48.1,21.5,6.7,13.4,513.0,medium,564.1,MEDIA
SC,27,M,CAFE DA MANHA,14.0,79.3,20.3,11.5,12.7,570.0,medium,629.7,MEDIA
SE,72,M,CAFE DA MANHA,18.3,47.1,14.0,12.4,22.3,450.0,medium,501.6,MEDIA
SE,27,M,JANTAR,4.2,83.3,14.8,2.3,5.6,508.0,medium,510.2,MEDIA
RS,27,F,ALMOCO,8.0,46.1,27.5,2.5,0.0,478.0,medium,468.9,MEDIA
PA,54,M,LANCHE,27.3,74.6,24.8,7.9,9.8,656.0,medium,685.8,MEDIA
PB,36,F,ALMOCO,32.3,53.9,21.7,12.9,4.0,513.0,medium,581.9,MEDIA
TO,36,F,LANCHE,27.3,77.8,27.9,7.5,12.7,704.0,high,737.3,ALTA
ES,30,F,CAFE DA MANHA,16.4,31.5,16.5,5.0,19.9,335.0,low,429.7,MEDIA
MA,56,F,ALMOCO,11.9,69.9,17.3,11.4,20.1,556.0,medium,586.1,MEDIA
SP,19,F,ALMOCO,13.1,50.6,29.9,8.3,14.2,591.0,medium,597.3,MEDIA
MT,33,M,ALMOCO,19.3,58.0,7.0,17.9,0.0,402.0,medium,408.0,MEDIA
DF,52,F,ALMOCO,17.0,12.3,16.3,7.5,21.1,287.0,low,363.3,BAIXA
PR,48,M,CAFE DA MANHA,41.7,33.0,17.4,8.1,0.0,464.0,medium,471.6,MEDIA
GO,62,M,LANCHE,31.4,43.0,5.8,5.9,8.0,306.0,low,393.6,BAIXA
SP,31,O,CAFE DA MANHA,44.4,46.1,29.0,5.4,34.4,653.0,medium,771.4,ALTA
SP,58,M,ALMOCO,16.2,57.9,29.4,1.9,13.2,516.0,medium,617.6,MEDIA
GO,65,M,ALMOCO,43.7,40.2,34.4,7.3,4.2,684.0,medium,676.6,MEDIA
PB,42,F,ALMOCO,29.1,87.6,6.7,10.4,19.9,531.0,medium,627.5,MEDIA
TO,34,M,LANCHE,20.3,67.3,31.8,0.9,18.8,670.0,medium,713.6,ALTA
RS,52,M,ALMOCO,22.5,70.9,8.7,5.0,17.6,435.0,medium,532.3,MEDIA
CE,54,F,JANTAR,7.0,37.8,19.3,12.4,1.6,362.0,low,384.1,BAIXA
PR,23,F,LANCHE,27.9,71.4,15.8,8.6,14.6,487.0,medium,615.0,MEDIA
PE,53,F,JANTAR,14.5,17.0,28.5,10.6,25.6,372.0,low,506.1,MEDIA
PI,27,M,LANCHE,13.6,73.8,17.5,5.4,30.5,538.0,medium,639.9,MEDIA
AC,53,F,CAFE DA MANHA,35.1,24.3,26.5,10.3,22.5,443.0,medium,586.7,MEDIA
GO,76,F,JANTAR,24.9,41.5,13.2,3.7,13.8,395.0,low,447.0,MEDIA
SC,51,M,LANCHE,30.3,45.2,12.3,5.6,13.1,392.0,low,476.3,MEDIA
DF,65,M,LANCHE,20.7,39.0,12.3,8.0,27.8,384.0,low,476.7,MEDIA
GO,37,M,CAFE DA MANHA,47.1,37.4,20.1,10.5,10.8,492.0,medium,583.1,MEDIA
GO,76,F,CAFE DA MANHA,14.3,48.7,15.2,9.0,14.7,393.0,low,465.6,MEDIA
BA,69,M,LANCHE,28.6,26.5,17.5,6.8,13.0,430.0,medium,443.5,MEDIA
BA,75,F,ALMOCO,16.0,11.3,18.9,6.6,19.8,275.0,low,371.7,BAIXA
MA,64,O,LANCHE,40.2,43.4,20.9,11.8,20.8,522.0,medium,629.3,MEDIA
SC,58,M,ALMOCO,30.5,34.8,18.8,0.0,10.0,425.0,medium,470.4,MEDIA
AC,51,F,ALMOCO,37.4,56.2,5.0,5.1,22.2,396.0,low,518.4,MEDIA
ES,76,M,CAFE DA MANHA,20.8,47.7,44.3,3.6,16.1,670.0,medium,744.3,ALTA
AL,71,M,CAFE DA MANHA,17.7,42.0,18.6,4.9,11.8,351.0,low,463.2,MEDIA
PR,44,F,CAFE DA MANHA,30.0,27.5,18.2,14.2,27.1,387.0,low,530.6,MEDIA
DF,23,M,JANTAR,19.4,30.4,21.3,8.6,18.3,368.0,low,481.3,MEDIA
RO,18,O,LANCHE,29.4,17.5,16.5,3.4,29.3,361.0,low,460.1,MEDIA
PR,32,F,JANTAR,36.5,37.5,19.2,10.6,22.8,493.0,medium,581.2,MEDIA
RO,21,M,LANCHE,30.6,41.9,21.4,7.8,13.8,472.0,medium,553.4,MEDIA
PI,31,M,LANCHE,20.3,20.2,8.4,7.5,7.5,222.0,low,282.6,BAIXA
MS,24,M,ALMOCO,30.6,46.9,27.7,5.0,27.0,531.0,medium,677.3,MEDIA
SC,79,F,JANTAR,41.9,35.8,12.1,9.1,15.9,478.0,medium,501.5,MEDIA
MG,24,F,JANTAR,27.3,41.6,18.1,13.5,14.3,414.0,medium,522.7,MEDIA
SE,57,M,LANCHE,21.5,42.2,16.9,8.1,21.4,382.0,low,508.7,MEDIA
TO,40,F,CAFE DA MANHA,18.9,49.6,4.8,12.0,12.7,344.0,low,392.0,BAIXA
PR,28,F,LANCHE,27.1,55.8,10.1,7.9,7.9,490.0,medium,469.9,MEDIA
RJ,62,F,CAFE DA MANHA,34.5,53.8,23.7,11.6,19.6,620.0,medium,668.1,MEDIA
DF,79,M,CAFE DA MANHA,32.3,57.5,17.8,12.2,11.6,529.0,medium,590.2,MEDIA
RO,67,M,LANCHE,19.4,33.4,30.3,8.0,28.3,465.0,medium,613.1,MEDIA
RJ,79,M,JANTAR,40.8,47.8,17.0,3.5,28.4,493.0,medium,628.0,MEDIA
SP,55,M,CAFE DA MANHA,24.6,56.8,24.9,5.9,24.0,492.0,medium,657.5,MEDIA
ES,60,F,CAFE DA MANHA,28.7,52.3,18.3,6.5,20.0,513.0,medium,581.7,MEDIA
RO,27,M,JANTAR,23.8,45.7,7.0,5.1,18.9,400.0,medium,426.8,MEDIA
MG,71,M,CAFE DA MANHA,29.9,63.5,17.0,12.7,9.9,522.0,medium,591.6,MEDIA
BA,65,M,CAFE DA MANHA,33.8,79.4,32.8,5.6,11.5,712.0,high,805.2,ALTA
BA,34,M,LANCHE,43.0,56.2,11.0,7.0,4.4,523.0,medium,527.4,MEDIA
PR,40,O,JANTAR,24.3,58.1,18.3,5.6,24.0,495.0,medium,601.5,MEDIA
GO,56,F,ALMOCO,20.6,52.3,22.3,12.2,12.7,454.0,medium,567.5,MEDIA
AP,18,M,ALMOCO,9.4,37.1,27.4,14.4,6.8,436.0,medium,488.6,MEDIA
MS,69,F,ALMOCO,25.0,46.8,1.1,6.4,0.7,272.0,low,312.7,BAIXA
PI,35,M,CAFE DA MANHA,21.4,67.3,25.5,10.4,17.3,607.0,medium,674.3,MEDIA
GO,22,F,LANCHE,39.5,49.0,22.7,13.4,26.0,581.0,medium,689.1,MEDIA
